title_web,job_type,salary,location,summary,company,date,Country,title,website
IT Systems Support Analyst - Tier 1,Technical Support Engineer,$18 - $25 an hour,"Boise, ID 83704 (West Valley area)","This is a full-time position, day shift.License or Certification Required: *None.Bachelor's Degree in Computer Science or Information Technology.",Treasure Valley Hospital,6/1/21,United States,IT support,Indeed
IT Customer Support,Technical Support Engineer,$18.92 an hour,United States,Position requires shift flexibility to support a 24x7 operation.Pay-18.92 hourly wage plus health and welfare dollars.2+ years of customer service experience.,"Cognosante, LLC",6/1/21,United States,IT support,Indeed
IT Support Specialist 1303641,Technical Support Engineer,None,United States,The Information Technology Support Specialist is primarily responsible for 1st and 2nd level direct end-user support for computer and networking hardware.,Pathways,6/1/21,United States,IT support,Indeed
"IT Support Technician (Draper, UT)",Technical Support Engineer,None,"Draper, UT 84020",The IT Help Desk is the first point of contact for IT related questions.The primary task of this position will be to troubleshoot and resolve endpoint issues…,Tesla,6/1/21,United States,IT support,Indeed
Entry Level IT Support - End User Desktop Support,Technical Support Engineer,From $17 an hour,"Charlotte, NC","The training is 12 weeks, M-F, 9am-4pm.Ideal candidates will have an interest in jumpstarting their career in tech and have proficient knowledge about computer…",Per Scholas Inc.,6/1/21,United States,IT support,Indeed
Entry Level IT Support,Technical Support Engineer,From $15 an hour,"Dallas, TX 75201","The training is 12 weeks, M-F, 9am-4pm.Ideal candidates will have an interest in jumpstarting their career in tech and have proficient knowledge about computer…",Per Scholas Inc.,6/1/21,United States,IT support,Indeed
IT Support / Helpdesk Engineer,Technical Support Engineer,"$60,000 - $70,000 a year","Oakland, CA","Experience providing remote phone technical support.Provide telephone/remote and on-site troubleshooting, training, and tech support.",ArchIT Inc.,6/1/21,United States,IT support,Indeed
"Entry Level IT Support - Helpdesk, Desktop Support",Technical Support Engineer,From $15 an hour,"Detroit, MI 48202 (New Center area)","The training is 12 weeks, M-F, 9am-4pm.Ideal candidates will have an interest in jumpstarting their career in tech and have proficient knowledge about computer…",Per Scholas Inc.,6/1/21,United States,IT support,Indeed
IT Support / Helpdesk Engineer,Technical Support Engineer,"$60,000 - $70,000 a year","Oakland, CA","Experience providing remote phone technical support.Provide telephone/remote and on-site troubleshooting, training, and tech support.",ArchIT Inc.,6/1/21,United States,IT support,Indeed
"Entry Level IT Support - Helpdesk, Desktop Support",Technical Support Engineer,From $15 an hour,"Detroit, MI 48202 (New Center area)","The training is 12 weeks, M-F, 9am-4pm.Ideal candidates will have an interest in jumpstarting their career in tech and have proficient knowledge about computer…",Per Scholas Inc.,6/1/21,United States,IT support,Indeed
"IT Desktop Support (FT) Johnson City, TN",Technical Support Engineer,None,"Johnson City, TN",Job Details Apply Save Print this job Email a…,Ballad Health,6/1/21,United States,IT support,Indeed
IT Support- Data Reporting,Technical Support Engineer,$17 - $22 an hour,"Somerville, NJ 08876",Knowledge of Ontario Systems FACs is required.*.Creating and maintaining reports using FACS and Ontario Reports reporting system.,Certified,6/1/21,United States,IT support,Indeed
IT Operations and Support Analyst I,Technical Support Engineer,None,"Boise, ID 83702 (Downtown area)","Gather, document and improve processes and procedures to understand and improve support to internal and external customers.6:00 a.m. - 5:00 p.m. Pacific Time.",State of Idaho,6/1/21,United States,IT support,Indeed
"IT Support Technician - Tier 1 - Missoula, MT",Technical Support Engineer,$18 - $20 an hour,"Missoula, MT",Intermediate workstation peripheral support skills.Intermediate desktop operating system support skills.After hours emergency support via the on-call rotation…,First Call Computer Solutions,6/1/21,United States,IT support,Indeed
IT Support Technician,Technical Support Engineer,$25 - $28 an hour,"Kansas City, MO 64132 (Legacy East area)","Conduct operations in support of the Enterprise Service Desk.Execute scripts and answer calls.Troubleshoot, resolve, and/or escalate technical issues.",Marathon TS,6/1/21,United States,IT support,Indeed
IT Help Desk Support Technician,Technical Support Engineer,"$40,000 - $70,000 a year","Wimberley, TX","Participates in on-call support coverage which includes nights, weekends and holidays.Provide technical assistance and support for incoming tickets and issues…",Hill Country Tech Guys,6/1/21,United States,IT support,Indeed
Medical Office IT support,Technical Support Engineer,$19 - $24 an hour,"Bountiful, UT 84010",Looking for someone who has both hardware and software experience to help maintain and support a simple network.,Wade Family Medicine,6/1/21,United States,IT support,Indeed
IT Support Technician,Technical Support Engineer,$13 - $15 an hour,"Fort Collins, CO 80523","To support this environment and comply with applicable laws and regulations, CSU conducts background checks.Ability to work 30-40 hours/week.",Colorado State University,6/1/21,United States,IT support,Indeed
IT Support Analyst,Technical Support Engineer,None,"New York, NY 10022 (Turtle Bay area)",Support Ticket Management – Manage IT support queue.Able to report on local support queue statistics and ensure tickets are closed timely.,Intercontinental Exchange,6/1/21,United States,IT support,Indeed
Entry Level IT Help Desk Support Technician,Technical Support Engineer,$17 - $22 an hour,"West Chester, PA 19382","Information technology, it support, computer, desktop support, system administrator, network administrator.0-2 years experience working with computers, laptops…",IT Solution Services,6/1/21,United States,IT support,Indeed
Tier 1 Help Desk Support - IT,Technical Support Engineer,$20.72 - $23.16 an hour,"Denver, CO 80226","This position is responsible for the integration, support and security of the credit union's client (desktop and portable) systems including all related…",Credit Union of Denver,6/1/21,United States,IT support,Indeed
IT Support Specialist I,Technical Support Engineer,None,"Nampa, ID 83687",Provides support to end users on a variety of IT issues.Experience providing user support for Microsoft Windows and Windows-based applications.,Terry Reilly Health Services,6/1/21,United States,IT support,Indeed
Remote IT Helpdesk Support,Technical Support Engineer,"From $36,000 a year","Los Angeles, CA",Deploy and support Microsoft 365 environments.Deploy and support Microsoft Azure environments.Provide on-call IT support for our clients.,CyberDuo Inc,6/1/21,United States,IT support,Indeed
,Technical Support Engineer,"$50,000 - $60,000 a year","Wilmington, DE 19808",Technicians work flexible hours to support operations of a company or organization around the clock.Participate in ongoing education of new technology as it…,"Continental Finance Company, LLC",6/1/21,United States,IT support,Indeed
